id,user_id,name,todo_1_1,todo_1_2,todo_1_3,todo_2_1,todo_2_2,todo_2_3,todo_3_1,todo_3_2,todo_3_3,todo_4_1,todo_4_2,todo_4_3,todo_5_1,todo_5_2,todo_5_3,todo_6_1,todo_6_2,todo_6_3,todo_7_1,todo_7_2,todo_7_3,todo_8_1,todo_8_2,todo_8_3,todo_9_1,todo_9_2,todo_9_3,todo_10_1,todo_10_2,todo_10_3,todo_11_1,todo_11_2,todo_11_3,todo_12_1,todo_12_2,todo_12_3
39,1,Motovilec,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,Pr,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P
40,1,Česen,,,,,Pr,Pr,Pr,R,R,R,R,R,R,R,R,P,P,P,P,,,,,,,,,,Pr,Pr,Pr,,,,,
41,1,Čebula 1,,,,,,,,,Pr,Pr,Pr,P,P,P,P,P,P,P,P,P,P,P,,,,,,,Pr,Pr,Pr,,,,,
42,1,Čebula 2,,,,S,S,S,R,R,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P,P,,,,,,,,,,,,,,
43,1,Gomoljna zelena,,,,,S,S,Pi,Pi,R,R,Pr,Pr,R,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,
44,1,Rdeča pesa 1,,,,,,,,,Pr,Pr,R,R,R,R,P,P,P,P,,,,,,,,,,,,,,,,,,
45,1,Rdeča pesa 2,,,,,,,,,,,,,,,,,Pr,Pr,R,R,R,R,P,P,P,P,P,,,,,,,,,
46,1,Redkvica,,,,,,Pr,Pr,Pr,Pr,R,P,P,P,P,P,,,,,,,,,,,,,,,,,,,,,
47,1,Korenje 1,,,,,,Pr,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P,P,P,P,P,P,,,,,,,,,,,,
48,1,Korenje 2,,,,,,,,,,,,,,,Pr,Pr,Pr,Pr,R,R,R,P,P,P,P,P,P,P,P,P,,,,,,
49,1,Koleraba in repa,,,,,,,,,,,,,,,,,,Pr,Pr,Pr,R,R,R,R,P,P,P,P,P,P,,,,,,
50,1,Pastinak,,,,,,,,,Pr,Pr,Pr,R,R,R,R,R,R,R,R,R,R,R,P,P,P,P,P,P,P,P,,,,,,
51,1,Krompir,,,,,,,,,Pr,Pr,Pr,R,R,R,R,P,P,P,P,P,P,P,,,,,,,,,,,,,,
52,1,Sladki krompir,,,,,,,,S,S,R,Pi,R,R,Pr,Pr,Pr,R,R,R,R,R,R,R,R,R,P,P,P,,,,,,,,
